Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
9HO1536,ALVERE MARK SILVER-ET,7HO0980,WALKWAY CHIEF MARK,11175814,ALVERE BELL SWEETS,,,,
7HO3847,AMELDIN II PONTIAC HUNTER,7HO1557,ART-ACRES BELL PONTIAC-ET,12680667,FAIR-HILL ROTATE HONEY-ET,,,,
775244823,ANDRIES,953840847,PIGEONWOOD RED-ET,ANA,ANIMAL NOT AVAILABLE,,,,
11HO7110,APINA MILLENNIUM RED,775244823,ANDRIES,ANA,ANIMAL NOT AVAILABLE,,,,
8585101953,APPAREIL,3680100517,RUGBY,8583105001,URANIE,,,,
11HO1118,APPLENOTCH LIBERATOR,11HO0105,FRANLANE BLACK KNIGHT,6603547,LYNNBERRY KATE,,,,
7HO3088,APPLENOTCH ROTATE RAMBO,7HO1118,ARLINDA ROTATE,10896782,APPLENOTCH BELL ELIZA,,,,
11HO5778,APPLOUIS ORIGINAL-ET,11HO3562,SHEN-VAL NV LM FORMATION-ET,15809947,MAR-RIVER BELWOOD ORANGE-ET,,,,
11HO5330,APPLOUIS SHANE-ET,39HO0453,OLIVEHOLME AEROLINE-TW-ET,15771821,HIGH-HILL BELLWOOD SHANA-ET,,,,
333860,AQUARIUS ELEVATOR,7HO0058,ROUND OAK RAG APPLE ELEVATION,2306077,MARALAN ROCKMAN JESSIE QUEEN,,,,
29HO8793,AR-JOY CELCIUS L-TRAIN-ET,97HO0004,528 ETAZAON CELSIUS-ET,14711942,ROTHROCKAERO LUELLE-ET,,,,
14HO2687,AR-JOY SLOCUM ADAM,9HO1489,GLEN-TOCTIN SLOCUM,13517359,AR-JOY BELLTONE ALLEY,,,,
29HO8930,ARLINDA AEROSTAR-ET,39HO0246,MADAWASKA AEROSTAR,12906699,ARLINDA CARL RUTHANN-ET,,,,
11HO2194,ARLINDA CINABAR-ET,11HO1056,GLEN-VALLEY STAR,6625302,ARLINDA CHIEF CINDERELLA,,,,
14HO0277,ARLINDA COMMANDER,7HO0091,NO-NA-ME FOND MATT,5971945,FO-MA-TO-SA COMMANDER JAN,,,,
9HO0107,ARLINDA JET STREAM-TWIN,1283917,TIDY BURKE FORTY-NINER,5971945,FO-MA-TO-SA COMMANDER JAN,,,,
29HO5730,ARLINDA MELWOOD-ET,7HO1118,ARLINDA ROTATE,9311697,ARLINDA COMBI MELODY,,,,
1HO0266,ARLINDA PENSTAR,,Penstate Ivanhoe Star  CV BL VG-89 GM,,,,,,
7HO1118,ARLINDA ROTATE,7HO0477,GLENDELL ARLINDA CHIEF,7370146,ARLINDA CHIEF ROSE,,,,
29HO3175,ARLINDA RULER,29HO1960,PACLAMAR COMBINATION,7333055,HONNETTE MONARCH RUTH,,,,
ARON,ARON,,100%HF,,100%HF,,,,
7HO1557,ART-ACRES BELL PONTIAC-ET,7HO0543,CARLIN-M IVANHOE BELL,8733981,ART-ACRES ELEVATION KAY,,,,
14HO4089,ART-ACRES MARSHALL BEN 702,11HO4662,RICECREST MARSHALL-ET,120475045,ART-ACRES WINCHESTER TEX-ET,,,,
9HO1289,ART-ACRES NED BOY OSCAR-ET,9HO0719,WHITTIER-FARMS NED BOY,11105756,ART-ACRES KAY 0-ET,,,,
78205,ASHTON TN KINNOULL,,TUREPO NOBLEMAN  44318,,ASHTON GV VANESSA 147460,,,,
17HO0403,ASPENWAY BLACK B MATT,29HO1962,POLYTECHNIC BLACK BART,8256110,ASPENWAY BELLE DAGAN NO-NA-ME,,,,
7185112167,ASSUR,5877102508,NAPOLEON,71766131419,MESANGE,,,,
PROFITE.T.,ATHOL FAMOUS PROFIT E.T.,,100%HF,,100%HF,,,,
73216,ATHOL LIN CHARACTER,,MMB LINMACK 62017,,ATHOL G CHARLOTTE HC 133300,,,,
ATLAS,ATLAS,,100%HF,,100%HF,,,,
4089,ATTLE,1HO1464,BIS-MAY TRADITION CLEITUS,2500,VALBORG,,,,
FB3340,AUCHENBARN SPECUTATOR,0100376675,GROVE SPECULATOR RM,0103232474,AUCHENBARN LADY MAY,,,,
14HO1065,AUDETS VALIANT KYLE-ET,29HO2851,S-W-D VALIANT,9323756,AUDETS ELEVATION KELLY,,,,
450539,AVONDALE CRISSCROSS ET,ANA,ANIMAL NOT AVAILABLE,ANA,ANIMAL NOT AVAILABLE,,,,
FB3299,AVONDALE MATT ET SP88,6400327907,RONBETH TELMATT,1200012237,KATERS NEVER FEAR PATRICIA,,,,
1HO3355,AWJ-GRACE BIS-MAY NEIKO,1HO1464,BIS-MAY TRADITION CLEITUS,13020749,AWJ-GRACELAND MARK NATASHA,,,,
B34/40,B34/40,36024BU,,37055BU,,,,,
B54/40,B54/40,35003BU,,36075BU,,,,,
B75/40,B75/40,37120PFN,,37149PFN,,,,,
2-9462,BALI,114,BRAK,143,AMANDA,,,,
14HO2736,BARBEE-M JUROR ITO-ET,29HO6658,KED JUROR-ET,14266198,BARBEE-M ELTON SULLY,,,,
7HO3714,BAR-LEE CLEITUS VISION-ET,1HO1464,BIS-MAY TRADITION CLEITUS,12289588,LEA-DA-WAY ENCHANTMENT VISA,,,,
8HO9602,BARRETT-RANCH IVAN ROCKMAN,70HO0106,SEILING ROCMAN,5388813,BARRETT RANCH BELLE,,,,
4286101832,BARTABAC,8981100361,SOLIDE,4283102935,URTICAIRE,,,,
52451,BASTIAN,,BALBO,,ASTE,,,,
456650578,BATENBURG GINSTAR ALDO,8HO1033,RIEHLHOLM MUTUAL,ANA,ANIMAL NOT AVAILABLE,,,,
73HO1075,BAUVERUIL TT APPOLLO-RED-ET,29HO2775,HANOVER-HILL TRIPLE THREAT-RED,9691241,DREAMSTREET ASTRONAUT ALICESON,,,,
11HO1928,BAYVILLE DALLAS-ET,7HO0978,LEMAX PAWMEE MOMOREAL,10371978,KINGLEA MARS DAISY,,,,
9HO1097,BAYVILLE DAMION-ET,7HO0978,LEMAX PAWMEE MOMOREAL,10371978,KINGLEA MARS DAISY,,,,
14HO1332,BAYVILLE ETHAN-ET,7HO0980,WALKWAY CHIEF MARK,11258529,LIGHTS-RBR BELL ELLEN,,,,
H406,BAYVILLE-HP DILLON-ET,11HO1479,LEKKER VALIANT ROYALTY,10371978,KINGLEA MARS DAISY,,,,
14HO2759,BEACHLAWN BELLWOOD BURKE-ET,11HO3243,MAIZEFIELD BELLWOOD-ET,14632262,BEACHLAWN BELL PRO TAMMY-ET,,,,
9HO1674,BEACHLAWN BSTAR BUNKER-ET,7HO1897,TO-MAR BLACKSTAR-ET,12323330,BEACHLAWN DUTCHOE BELL,,,,
29HO9128,BEACHLAWN ELUSIVE MAJIC,7HO4211,END-ROAD BLACKSTAR MAJIC-ET,15236108,SUNSHINE-D-P E PEACH-ET,,,,
14HO0652,BEAR-PATH FANTASTIC,29HO2851,S-W-D VALIANT,9337532,BEAR-PATH ELEVATION FLAIR,,,,
9HO1253,BEATYVIEW WCM RYAN-TWIN,7HO0980,WALKWAY CHIEF MARK,10929357,GRAYCREST BELL ROSE,,,,
39HO0389,BEAUCOISE BLACK RANGER-ET,7HO1897,TO-MAR BLACKSTAR-ET,8328902,BEAUCOISE STARBRIGHT KABA,,,,
73HO0776,BELFAST COMMANDO ET,7HO0543,CARLIN-M IVANHOE BELL,9161790,WY-RO ANITA APACHE,,,,
70HO0558,BELFAST GANGSTER-ET,73HO0431,HANOVERHILL STARBUCK,3130299,BELFAST CHIEFTAIN TOPSY,,,,
041HF,BELL32/15,7HO0543,CARLIN-M IVANHOE BELL,HF3215,,,,,
14HO1257,BELLEVIEW NED BOY PATENT-ET,9HO0719,WHITTIER-FARMS NED BOY,11395443,BELLEVIEW BELL KIMBERLY,,,,
8586104254,BENGALI,5883102350,UNIQUE,8579105826,PAQUERETTE,,,,
5886113636,BERLIN,REVEILLON,,5878129126,OTTAWA,,,,
73HO0831,BERMASKA VOLCAN-ET,29HO2851,S-W-D VALIANT,8949481,MARLU RAG APPLE BERTHA,,,,
7HO3725,BETTES CLEITUS BROKER,1HO1464,BIS-MAY TRADITION CLEITUS,12421582,BETTES TRADITIONAL VALIANT,,,,
29HO4423,BGZ DAY DREAM-ET,7HO0543,CARLIN-M IVANHOE BELL,8391679,LEEDS CHIEF DAY,,,,
72HO0611,BICENETIC TUTOR-ET,73HO0646,KINGSTEAD VALIANT TAB,10736946,A TWIN-OAKES PETE VALERIE,,,,
122HO0381,BIFF GOLDEN-GENES TRAD-ET,23HO0206,SWEET-HAVEN TRADITION,9239012,FARFIELDS BETSY CHIEF-TWIN,,,,
P248,BIG START HATTIE ASTRO WIN,,PACLAMAR ASTRO SELECT,,BIG-START HATTIE GIRL,,,,
29HO4773,BILJEAN IJON SENSATION-ET,29HO3139,STERK R A IJON,10360442,BILJEAN VALIANT ROSE-TWIN,,,,
BILL,BILL,,MANUEL,,BELLA,,,,
20692/01,BIMULLER,19741/10,BIMBO,6329656,EDELWEI,,,,
P292,BIRCH-ECHO MATT CHIEF ET,,HIGHER-VIEW MATT CHIEF,,BIRCH-ECHO TIDY GRENDA,,,,
3HO0689,BIS-MAY ASTRO JUPITER,40HO0096,PACLAMAR ASTRONAUT,6916047,BIS-MAY P ADMIRAL JAMA,,,,
9HO1401,BIS-MAY S-E-L MOUNTAIN-ET,11HO1479,LEKKER VALIANT ROYALTY,11633203,BIS-MAY CHAIRMAN MERRI,,,,
1HO1464,BIS-MAY TRADITION CLEITUS,23HO0206,SWEET-HAVEN TRADITION,10192628,BIS-MAY CONDUCTOR CORAL,,,,
8HO1258,BIT-O-WIND STARWAR,7HO0195,WAPA ARLINDA CONDUCTOR,8553347,BIT-O-WIND KIRK ETSIE,,,,
9HO1048,BJL LANDSLIDE,9HO0584,CAL-CLARK BOARD CHAIRMAN,10987922,EICHLERDALE VALINT METTIE,,,,
9819,BJORK,9HO0719,WHITTIER-FARMS NED BOY,152,STINA,,,,
29HO4676,BLACKCREST KOMET-ET,29HO3064,TWIN-LAWN ELEVATION JASON,7988998,BLACKCREST STAR KAREN,,,,
HOPE,BLACKSTAR ROEBUCK HOPE(โฮบ),14HO1114,PARADISE-R ROEBUCK,15429986,SUNDANCE RIDGE BSTAR CUPID(3026),,,,
4286100325,BLASON,0374111006,JISCAR,4280104607,REGENCE,,,,
9889,BLICK,9HO0719,WHITTIER-FARMS NED BOY,242642,180 STINA,,,,
SEN,BLITSAERD SENDY(SEN-HD),,100%HF,,100%HF,,,,
8586106942,BLIZZARD,1885101306,AMIRAL,8584101202,VOLGA,,,,
9HO2017,BLOK-BROS OSCAR VISTA-ET,9HO1289,ART-ACRES NED BOY OSCAR-ET,13619908,BLOK-BROS MARK VANITY-ET,,,,
SG27,BLUEBALL NATHAN,,100%HF,,100%HF,,,,
11HO3093,BO-DI BLACK GOLD-ET,1HO1464,BIS-MAY TRADITION CLEITUS,11001267,VIETHSONS BOOTPEG BELL BEA-ET,,,,
1HO9215,BOMAZ DESTRUCTION-ET,1HO7380,LUTZ-BROOKVIEW BELL REX-ET,11268394,BOMAZ VALIANT DAPHNE,,,,
71HO1083,BOND HAVEN EDIFICE,7HO0980,WALKWAY CHIEF MARK,3626571,BOND HAVEN VALIANT R EDDA,,,,
71HO1019,BOND HAVEN EQUALIZER-ET,72HO0376,HANOVER-HILL INSPIRATION,2701970,BOND HAVEN MARQUIS R EDDA,,,,
28HO0173,BOND HAVEN MAGNUM,7HO0401,MARSHFIELD ELEVATION TONY,3681824,BOND HAVEN VALIANT M WAY ET,,,,
8586104282,BONUS,8576104516,MOQUER,8580107623,ROSALIE,,,,
9976,BORRA,8HO1523,CA-LILL BELLTONE,261628,526 KAJSA,,,,
504491429,BOS IMANUEL,40HO2025,PAWNEE FARM ARLINDA CHIEF,,BOS GWENDA,,,,
503752907,BOS IMMO,29HO2851,S-W-D VALIANT,,BOS GRADA,,,,
4286103237,BOSKO,8578104831,ORCHESTRE,7175121462,LOLA,,,,
50-1756,BOSLAND PROGRES,456650578,BATENBURG GINSTAR ALDO,ANA,ANIMAL NOT AVAILABLE,,,,
11HO5071,BOSSIDE RUBEN-ET,29HO6658,KED JUROR-ET,14734125,LENZWAY TESK RUBYT RITA-ET,,,,
21HO0990,BOSSIR GLEN-VALLEY STARLITE AL,11HO1056,GLEN-VALLEY STAR,9493930,HENNEN RORAE SNOBIRD,,,,
9HO1729,BRABANT STAR PATRON-ET,7HO1897,TO-MAR BLACKSTAR-ET,12986269,BRABANT NED BOY PAULA,,,,
11HO5539,BRAEDALE RIVER-ET,11HO3686,PARKER AERO WADE-ET,5912235,BRAEDALE GYPSY GRAND,,,,
11HO1545,BREEDYK JASON,7HO0286,CEDAR-GROVE GOLDEN NUGGET,9039496,HERTZLER ELEVATION JESSIE,,,,
29HO3625,BREEZEWOOD LINCOLN,71HO7392,ROYBROOK STARLITE,6174402,BREEZEWOOD PATSY BAR PONTIAC,,,,
7HO4401,BRICDALE MASCOT OTTO(204HO1000),1HO2085,SINGING-BROOK N-B MASCOT-ET,13804764,HALO PONTIAC OREO-ET,,,,
71HO0580,BRIDON ASTRO JET-ET,40HO0096,PACLAMAR ASTRONAUT,8047373,MOERACRES ANNA GEM,,,,
29HO2856,BROOK-LODGE MODEL KIT,29HO2146,AJRF BURKGOV KIT,6415655,BROOK LODGE SUNSHINE MARJORIE,,,,
73HO1414,BROOKNOOK MILESTONE-RED-ET,73HO0332,GLENAFTON ENHANCER,3954472,BROOKNOOK MILESTONE DEE,,,,
9HO0780,BROOKS-TWAIN NUG SATAN,7HO0286,CEDAR-GROVE GOLDEN NUGGET,8589641,BROOKS-TWAIN ELEVATION SARA,,,,
9HO0758,BROOKS-TWAIN VAL SAMMY-ET,29HO2851,S-W-D VALIANT,8589641,BROOKS-TWAIN ELEVATION SARA,,,,
1HO0224,BROOKVIEW CALIBAN,1HO0131,WESTMORELAND BRIDGETTE CAL,7738172,BROOKVIEW APOLLO HONEY,,,,
73HO0422,BROOKVIEW JIMMY,ANA,ANIMAL NOT AVAILABLE,ANA,ANIMAL NOT AVAILABLE,,,,
H428,BROWN DALE APACHE-ET,73HO0431,HANOVERHILL STARBUCK,,RUTI CHRISTOPHER ALPINA-ET,,,,
9HO0939,BROWNCROFT FRONTIER-ET,9HO0584,CAL-CLARK BOARD CHAIRMAN,9438726,BROWNCROFT KING JET FLOP-TWIN,,,,
9HO0580,BROWNCROFT JETSON,9HO0107,ARLINDA JET STREAM-TWIN,7479457,BROWNCROFT KINGPIN KATE,,,,
9HO0914,BROWNCROFT ODYSSEY EXCALIBUR,9HO0584,CAL-CLARK BOARD CHAIRMAN,9929491,BROWNCROFT JETSON ELSIE,,,,
76HO0045,BROWNDALE SIR CHRISTOPHER,1HO0104,IDEAL FURY REFLECTOR,2181311,GREEN ELMS ECHO CHRISTINA,,,,
70HO0289,BRRIGEEN JUBILEE-ET,29HO2851,S-W-D VALIANT,9250203,BRIGEEN ELEVATION JACKIE-TWIN,,,,
CHA224/8,BT MR THOMAS 224/8(56CH0058),MR.THOMAS14/6,,MISS.KENEDY4/25,,,,,
22-542,BUDJON CHASER-ET 990386775,29HO3085,JOLUDI ELMER CHIEF,8125931,BUDJON JUNE STANDOUT,,,,
29HO3875,BURKET-FALLS SOLOMON-ET,29HO2851,S-W-D VALIANT,8900345,BURKET-FALLS ELEVATION SOPHIA,,,,
1038509,BURKGOV INKA DE KOL,882933,PABST GOVERNOR,2241235,WILLOWDALE INKA DE KOL MAY,,,,
11HO0369,BURTON-HILL MILKMAN-RED,8HO0672,CA-LILL STANDOUT CAVALIER,10031784,BURTON-HILL THREAT MILLY-RED,,,,
11HO3665,BUR-WALL AEROSTAR MATT,39HO0246,MADAWASKA AEROSTAR,12934728,BUR-WALL CHIEF MARK MATTIE,,,,
1662606,BUTTERDAY BURKE ADMIRAL,40HO2025,PAWNEE FARM ARLINDA CHIEF,6289411,BUTTERDAY MARIE FORTY-NINER,,,,
40HO2080,C ROMANDALE SHALIMAR MAGNET,265607,ROMANDALE SHALIMAR,1691686,ROMANDALE REFLECTION ASTRA,,,,
C.BRURAL,C.BRURAL,9HO1353,,E003A1,,,,,
WIZARD060,C.J WIZARD 060,,SCC MAGIC 617,,SCC ANGEL FIRE 612,,,,
C.MARKET,C.MARKET,8HO1975,WILLOWLAND MARK IV,A0039A1,,,,,
14HO2240,CACTUS-ACRES TAR SPARKLE-ET,1HO1333,CURTMAID EMERALD TARGET,14507130,CACTUS-ACRES MELWOOD SHARLA,,,,
29HO7337,CAERNARVON JETHRO-ET,39HO0246,MADAWASKA AEROSTAR,12859765,CAERNARVON MARK JESSIE-ET,,,,
14HO2483,CAERNARVON MT RUSHMORE-ET,9HO1401,BIS-MAY S-E-L MOUNTAIN-ET,13619631,CAERNARVON CLEITUS JULIET-ET,,,,
11HO2892,CAERNARVON ROYAL DISCOVER,11HO1479,LEKKER VALIANT ROYALTY,11740034,CAERNARVON DEANN-ET,,,,
11HO3675,CAERNARVON STEPHEN-ET,39HO0246,MADAWASKA AEROSTAR,12859769,CABIN-RUN MARK STAR-ET,,,,
73HO2194,CAERNAVON JAY-ET,1HO2085,SINGING-BROOK N-B MASCOT-ET,12859765,CAERNAVON MARK JESSIE-ET,,,,
387962,CALBRETT AMADEO ET,73HO0431,HANOVERHILL STARBUCK,3629014,MVF TRIPLE THREAT AMANDA,,,,
7HO2203,CAL-CHRIS ROTATION,7HO1118,ARLINDA ROTATE,10752429,CAL-CHRIS IVAN LIL LISA,,,,
9HO0584,CAL-CLARK BOARD CHAIRMAN,40HO2119,MILU BETTY IVANHOE CHIEF,8531250,PAT-SON ELEVATION CHRIS,,,,
73HO0281,CAL-CLARK CUTLASS,1352979,SKOKIE NED BOY,8217336,JIM-MAR-D ASTRONAUT GAIL,,,,
8HO1523,CA-LILL BELLTONE,7HO0543,CARLIN-M IVANHOE BELL,9964944,CA-LILL CAVALIER LEANA,,,,
8HO0672,CA-LILL STANDOUT CAVALIER,14HO0166,SUNNYSIDE STANDOUT-TWIN,6396662,WEEPING WILLOW KINGPIN IVANHOE,,,,
7HO3384,CAL-MART ROTATIONAL-ET,7HO1118,ARLINDA ROTATE,10855200,CAL-MART TONY REBA,,,,
7HO1960,CAMANO-ISLAND BO SUPREME-ET,7HO0572,ROCKALLI SON OF BOVA,10331218,CAMANO-ISLAND VALIANT GLOW,,,,
29HO7731,CAMANO-ISLAND BONANZA-ET,1HO2085,SINGING-BROOK N-B MASCOT-ET,14265434,CAMANO-ISLAND BONITA,,,,
9HO1173,CAMANO-ISLAND BOVA GLOW-ET,7HO0572,ROCKALLI SON OF BOVA,10331218,CAMANO-ISLAND VALIANT GLOW,,,,
4287101541,CAMUS,4280104585,REQUIN,4285101702,ASTRIDE,,,,
4287100104,CANDIDAT,,RINGIS,,100%CHA,,,,
11HO6719,CANYON-BREEZE ATTACHE-TW,29HO8343,WA-DEL CONVINCER-ET,121949710,CANYON-BREEZE EM ASHLEY-ET,,,,
12FFS44,CARENDA GARVITY(GARVITA),160HO9530,SHOREMAR PERFECT STAR ET,ANA,ANIMAL NOT AVAILABLE,,,,
11HO2188,CARL-A OAKENBOUND FRED,8HO9123,WHITTIER-FARMS APOLLO ROCKE,9191266,CARL-A CHIEF FAITH,,,,
7HO0543,CARLIN-M IVANHOE BELL,15HO0103,PENSTATE IVANHOE STAR,7832117,B & W HEILO CREAMELLE,,,,
11HO2597,CARNATION BENEFIT,23HO0206,SWEET-HAVEN TRADITION,9501921,CARNATION COMPLETE BEATRICE-ET,,,,
11HO2598,CARNATION CASINO-ET,9HO0580,BROWNCROFT JETSON,8351751,DIAMOND-S EVE CORRY,,,,
11HO2162,CARNATION COMPLETE PACKAGE,15HO0136,PACLAMAR TRIUNE COMPLETE,8833194,SKAGIT CHIEF BEATRICE,,,,
11HO2418,CARNATION COMPUTER-ET,29HO2851,S-W-D VALIANT,8351751,DIAMOND-S EVE CORRY,,,,
11HO2745,CARNATION CONCOURSE-ET,7HO0572,ROCKALLI SON OF BOVA,10791951,CARNATION IV VAL CORRY-ET,,,,
11HO1237,CARNATION ELEVATION RAG APPLE,7HO0058,ROUND OAK RAG APPLE ELEVATION,5907509,OAKHURST TIDY BURKE SELMA,,,,
11HO2132,CARNATION GLENVIEW JOE-ET,15HO0136,PACLAMAR TRIUNE COMPLETE,8833194,SKAGIT CHIEF BEATRICE,,,,
1152252,CARNATION MADCAP BUTTER BOY,837650,CARNATION IMPERIAL MADCAP LAD,3092125,FRASEA BUTTER GIRL WAYNE,,,,
11HO2566,CARNATION PATRON-ET,7HO0900,STRAIGHT-PINE ELEVATION PETE,8221077,DIAMOND-S HOO DOO PAT,,,,
11HO0001,CARNATION ROYAL MASTER,1152252,CARNATION MADCAP BUTTER BOY,3232651,LAKEFIELD FOBES DELIGHT,,,,
1860383,CARNATION SEATTLE SLEW-ET,29HO2851,S-W-D VALIANT,8351751,DIAMOND-S EVE CORRY,,,,
11HO2378,CARNATION SEATTLE SLEW-ET,29HO2851,S-W-D VALIANT,8351751,DIAMOND-S EVE CORRY,,,,
7987100676,CARTER,79350,NOIRAUD,7981101863,SARDINE,,,,
11HO5929,CARTERS-CORNER ALLY-ET,14HO2090,HA-HO CUBBY MANFRED-ET,17216847,NEU-WAY PATRON ALLIE-ET,,,,
11HO6655,CARTERS-CORNER BELAIR-ET,11HO3562,SHEN-VAL NV LM FORMATION-ET,15190328,H-R-Z OSCAR BESSIE-ET,,,,
CR47680F,CASELLE ACHILLES ET,73HO0177,ROYBROOK TEMPO,ANA,ANIMAL NOT AVAILABLE,,,,
7HO0800,CASS-RIVER SELECT DELEGATE,7HO0146,ROUND-OAK APOLLO VIRGINIAN,8370604,BEAVER-ACRES BURKGOV DINA,,,,
7HO5300,CATALINA MATHIE MAGNUM,7HO3707,PARADISE-R CLEITUS MATHIE,14817992,CATALINA ELTON MABEL,,,,
29HO9486,CATALINA MATTER-ET,9HO1729,BRABANT STAR PATRON-ET,14817992,CATALINA ELTON MABEL,,,,
7HO3702,CEDARCREST-VU CLET LEON-ET,1HO1464,BIS-MAY TRADITION CLEITUS,10820847,GOULD VALIANT LILLA,,,,
7HO0286,CEDAR-GROVE GOLDEN NUGGET,40HO0096,PACLAMAR ASTRONAUT,5558682,DOROTHIL BENEFACTOR GOLDIE,,,,
319416,CEDELMAR BLACKJACK,288790,ROYBROOK TELSTAR,2172389,FARIA REFLECTION MELODY,,,,
29HO7551,CHANCE MASCOT LB ADAM-ET,1HO2085,SINGING-BROOK N-B MASCOT-ET,12532410,LIGHT-RIDGE FAIRHIL MARK EL,,,,
3HO0449,CHAPEL-BANK APACHE,15HO0062,HILLTOP APOLLO IVANHOE,5496871,GREEN BANKS BURKGOV ARLENE,,,,
14HO0395,CHAPEL-BANK MAXMAKER,29HO1881,PACLAMAR BOOTMAKER,6426126,CRESTDELL IVANHOE STAR MAXIE,,,,
14HO0635,CHAPEL-BANK TELSTAR CHIEF,40HO2025,PAWNEE FARM ARLINDA CHIEF,8499357,CHAPEL-BANK TELSTAR KAYE,,,,
8HO1608,CHAPINACRES CHAIRMAN SUMMIT,9HO0584,CAL-CLARK BOARD CHAIRMAN,8728626,CHAPINACRES PAT SUPER COW,,,,
1HO3810,CHAPLE-BANK AEROTATION,7HO2233,GILTEX DICTATION-ET,14927018,CHAPLE-BANK ASTAR ABBY-ET,,,,
11HO0464,CHASEHOLME ELEVATION STARBUCK,7HO0058,ROUND OAK RAG APPLE ELEVATION,6054261,CHASEHOLME REFLECTION STAR,,,,
29HO6405,CHASIN-RAINBOWS SHAZAM,1HO1464,BIS-MAY TRADITION CLEITUS,12658668,CHASIN-RAINBOWS MARK SHASTA-ET,,,,
CHAZAK823,CHAZAK823,286,PRE286,636,ATOMIT636,,,,
29HO7441,CHEL-BROOK STAN LATON-ET,76HO0238,STAN-BITZIE KIRK BELL BOSS,12628564,DIXIE-LEE MARK LIZA-ET,,,,
29HO5149,CHERRYBROOK-LTD PATRICK-ET,29HO2851,S-W-D VALIANT,10014122,ROYAL-HAVEN CONDUCTOR PAT,,,,
1HO2041,CHERRY-GROVE SECRET-ET,1HO0406,THONYMA SECRET,12211982,CHERRY-GROVE TIGER SALLY,,,,
122HO1271,CHERRY-LOR J-TOWN PLEDGE-ET,97HO0003,528 ETAZON JIMTOWN-ET,14735521,CHERRY-LOR PEACHES B-MAN-ET,,,,
11HO3264,CHERTERI FLAWLESS,29HO5730,ARLINDA MELWOOD-ET,12411316,FAY-FOUR TRADITION FAY-ET,,,,
CHEVER813,CHEVER813,241,IKAR241,0519,CHAVA0519,,,,
29HO4725,CHIEF S INDYS LEDGEND,7HO0477,GLENDELL ARLINDA CHIEF,10224445,SCHOCH STARLITE LANA,,,,
29HO1883,CITATION R MAPLE,267150,ROSAFE CITATION R,5652213,ROSDALE BOND HAVEN LIFLOC ANN,,,,
73HO0761,CLAIRBOIS SIR CHRISTIN,76HO0045,BROWNDALE SIR CHRISTOPHER,8588668,CLOVERLANDS GALAXY CLEANTHE,,,,
71HO0814,CLAIRBOIS VIANNEY,7HO0900,STRAIGHT-PINE ELEVATION PETE,3303703,CLAIRBOIS VIOLYNE BLACKY,,,,
7HO1865,CLEAR-ECHO IVAN BELL AVENGER,7HO0543,CARLIN-M IVANHOE BELL,9937043,CLEAR-ECHO WAYNE AZALEA,,,,
73HO1123,CLEAR-ECHO JOEL,73HO0431,HANOVERHILL STARBUCK,10829939,CLEAR-ECHO VALIANT DORREEN,,,,
94HO7051,CLEAR-ECHO S-WIND PAUL,29HO5296,SOUTHWIND BELL OF BAR-LEE,13566590,CLEAR-ECHO MELWOOD LORRA,,,,
70HO0143,CLINTON-CAMP MAJESTY,7HO0058,ROUND OAK RAG APPLE ELEVATION,6635798,DON-AUGUR ADORABLE MARGE,,,,
74230,CLOVERNOOK L GREGG,,MMB LINMACK 62017,,CLOVERNOOK GV JULIET VHC 128472,,,,
7187113816,CLUB,7183120434,URUGUAY,7177134504,NENETTE,,,,
12FFT86,CLYDEVALE LORD FARGO(LORDFARGO),97HO0021,528 ETAZON LORD LILY-ET,ANA,ANIMAL NOT AVAILABLE,,,,
12FFT87,CLYDEVALE LORD PRESTO,97HO0021,528 ETAZON LORD LILY-ET,ANA,ANIMAL NOT AVAILABLE,,,,
29HO6660,CMV MICA-ET,29HO5730,ARLINDA MELWOOD-ET,12882374,BRIAPATCH-R MISTY-ET,,,,
3HO0553,COAG BUNNY COLONEL LYLE-TWIN,3HO0035,LYON BROOK WALLIE COLONEL,5317622,RUGUA BRUCE BUNNY,,,,
15HO0059,COCHRAN GENERAL,174331,SOVEREIGN COMMANDER ANTONIO,3235970,COCHRAN SOVEREIGN GAIL,,,,
11HO0145,COCHRAN SUNSHINE CHARMER,1HO0092,HARBORCREST SUNSHINE,5201823,COCHRAN GENERAL MARIETTA,,,,
29HO5616,CO-HILL MARK MILLIONAIRE-ET,7HO0980,WALKWAY CHIEF MARK,10968543,WHITELEATHER MAJESTY VALIANT D,,,,
14HO2869,COLDSPRINGS EXODUS-ET,7HO3994,WA-DEL RC MATT-ET,14890529,LADYS-MANOR TOP STAR-ET,,,,
9HO0619,COLDSPRINGS HELIOS,9HO0107,ARLINDA JET STREAM-TWIN,8634704,COLDSPRINGS KINGPIN EDEL WEISS,,,,
7HO2249,COLDSPRINGS OSADO,23HO0206,SWEET-HAVEN TRADITION,9770236,COLDSPRINGS STAR IVY,,,,
7HO3993,COLDSPRINGS VERTUOSA-ET,7HO1897,TO-MAR BLACKSTAR-ET,12647446,FAIR-HILL ROTATE ROTATE GIN-ET,,,,
5887116022,COLIBRI,5883101052,URANUS,5879104935,PRALINE,,,,
73HO1800,COMESTAR LAST CALL,7HO0980,WALKWAY CHIEF MARK,4425038,COMESTAR LAURIE SHIEK ET,,,,
