Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
A136-2/24,A136-2/24,HD136,ANNE 2,ANA,ANIMAL NOT AVAILABLE,,,,
A38,A38,GSAG16,G-SAG ADEMA 125 VAN DE GEERTJES HOEVE,1164,1164(ฝนเทียม),,,,
A63,A63,GSAG16,G-SAG ADEMA 125 VAN DE GEERTJES HOEVE,F358,F358(สมใจ),,,,
A72,A72,GSL99,G-SL VENHUIZER IDEAAL4,07379,07379(โพธิ์แก้ว),,,,
A75,A75,GSCT95,G-SCT KOMMERS TOEKOMST,07912,,,,,
A-ARIS-1/25,A-ARIS-1/25,15HO0311,WINTER-PLACE ARISTOCRAT,3714,,,,,
A-ASHTON56,A-ASHTON56,78205,ASHTON TN KINNOULL,สีเทา,,,,,
A-BARR,A-BARR96,11HO2170,RIPVALLEY BARRET NORRIS,แดง,,,,,
A-CASTOR69,A-CASTOR69,FB2998,MMB ASTRONAUT CASTOR,47093,,,,,
A-CHARACTER82,A-CHARACTER82,73216,ATHOL LIN CHARACTER,Z200054,,,,,
A-ENG71,A-ENG71,11HO1340,WALHOWDON CONDUCTOR ENGINEER,47088,,,,,
A-EPK83,A-EPK83,73HO0426,EDWARDALE PATRICK KLONDIKE,60919,,,,,
A-EXCLUSIVE90,A-EXCLUSIVE90,EXCLUSIVE,,นิวชีแก่น,,,,,
A-G252,A-G252,GUR252,,มะลิซ้อน,,,,,
A-GHU-1/25,A-GHU-1/25,GHU356,G-HU FRANS 356 VAN GROEN HOVEN,800,,,,,
A-GSCT95-1/26,A-GSCT95-1/26,GSCT95,G-SCT KOMMERS TOEKOMST,HN361/22,,,,,
A-GSL99-1/26,A-GSL99-1/26,GSL99,G-SL VENHUIZER IDEAAL4,HN233/21,,,,,
A-GSS86,A-GSS86,81230,GAIRLOCH S. SUPERIOR,บัวตูม,,,,,
A-HD54-1/23,A-HD54-1/23,HD54,GRENADIER 2 1-8009,จันทร์เพ็ญ,,,,,
A-LIN80-1/31,A-LIN80-1/31,73216,ATHOL LIN CHARACTER,X500502,,,,,
A-LOJOE72,A-LOJOE-72,11HO1886,LONG-HAVEN JOE SUPREME-ET,47090,,,,,
A-M.REQ67,A-M.REQ67,FB3262,MEADOWBRIDGE REQUEST,47163,,,,,
A-MAGIC84,A-MAGIC84,11HO1273,JOLIAM MONITOR STANDO MAGIC,50333,,,,,
A-MODE,A-MODE95,71HO0680,MITY-FINE MODERATOR ET,60811,,,,,
A-ROS-1/28,A-ROS-1/28,,,,,,,,
A-RT-1/27,A-RT-1/27,,,,,,,,
A-SEN-1/23,A-SEN-1/23,SEN,BLITSAERD SENDY(SEN-HD),837,,,,,
A-SEN-2/23,A-SEN-2/23,SEN,BLITSAERD SENDY(SEN-HD),ANA,ANIMAL NOT AVAILABLE,,,,
A-SK-1/27,A-SK-1/27,,,,,,,,
A-SUPERIOR88,A-SUPERIOR88,81230,GAIRLOCH S. SUPERIOR,แดง,,,,,
A-VALLEY94,A-VALLEY94,11HO2170,RIPVALLEY BARRET NORRIS,86948,,,,,
A-VAN98,A-VAN98,72HO0421,HILLTOP-HANOVER C VAN ET,แสงเดือน,,,,,
A-VR12-1/25,A-VR12-1/25,VR12,HD93 VRIENDENHOF 12(VR12-01093),โพธิ์เงิน,,,,,
A-WALHOW66,A-WALHOW66,11HO1340,WALHOWDON CONDUCTOR ENGINEER,ANA,ANIMAL NOT AVAILABLE,,,,
A-Y651,A-YANIV651-1/31,YANIV651,,Z200183,,,,,
C155,C155,LIN210,LIN-210 BURGER LINOBERG4,T670,T670(ศิริขวัญ),,,,
C284,C284,GSAG16,G-SAG ADEMA 125 VAN DE GEERTJES HOEVE,FH256,FH256(โพธิ์เพชร),,,,
C526,C526,GHU343,,F1495,F1495แก้ว,,,,
