TP_ID,TP_CODE,TP_PERCEN,TP_INT,TP_NUM_UP,TP_NUM_LO
TMZ471/36,HF,75,75,0,1
TMZ471/36,AB,25,25,0,1
A72,HF,75,75,0,1
A72,NA,25,25,0,1
A136-2/24,HF,75,75,0,1
A136-2/24,BI,25,25,0,1
A136-1/24,HF,75,75,0,1
A136-1/24,BI,25,25,0,1
C526,HF,75,75,0,1
C526,NA,25,25,0,1
XY75,HF,75,75,0,1
XY75,BI,25,25,0,1
A-VR12-1/25,HF,75,75,0,1
A-VR12-1/25,BI,25,25,0,1
A-SEN-1/23,HF,75,75,0,1
A-SEN-1/23,BI,25,25,0,1
A-HD54-1/23,HF,75,75,0,1
A-HD54-1/23,BI,25,25,0,1
A95/26,HF,75,75,0,1
A95/26,BI,25,25,0,1
G256,HF,75,75,0,1
G256,BI,25,25,0,1
A-RT-1/27,HF,75,75,0,1
A-RT-1/27,BI,25,25,0,1
124HF,HF,75,75,0,1
124HF,BI,25,25,0,1
131HF,HF,75,75,0,1
131HF,BI,25,25,0,1
A75,HF,75,75,0,1
A75,NA,25,25,0,1
A63,HF,75,75,0,1
A63,NA,25,25,0,1
TMZ102/39,HF,75,75,0,1
TMZ102/39,AB,25,25,0,1
TMZ67/42,HF,75,75,0,1
TMZ67/42,AB,25,25,0,1
TMZ69/42,HF,75,75,0,1
TMZ69/42,AB,25,25,0,1
TMZ304/41,HF,75,75,0,1
TMZ304/41,AB,25,25,0,1
75TH208,HF,75,75,0,1
75TH208,BI,25,25,0,1
TMZ358/41,HF,75,75,0,1
TMZ358/41,AB,25,25,0,1
TMZ356/41,HF,75,75,0,1
TMZ356/41,AB,25,25,0,1
TMZ48/42,HF,75,75,0,1
TMZ48/42,AB,25,25,0,1
A-SK-1/27,HF,75,75,0,1
A-SK-1/27,BI,25,25,0,1
123HF,HF,75,75,0,1
123HF,BI,25,25,0,1
TMZ103/39,HF,75,75,0,1
TMZ103/39,AB,25,25,0,1
A-GSS86,HF,75,75,0,1
A-GSS86,BI,25,25,0,1
H096,HF,75,75,0,1
H096,BI,25,25,0,1
C284,HF,75,75,0,1
C284,NA,25,25,0,1
C766,HF,75,75,0,1
C766,NA,25,25,0,1
A-G252,HF,75,75,0,1
A-G252,BI,25,25,0,1
A-SUPERIOR88,HF,75,75,0,1
A-SUPERIOR88,BI,25,25,0,1
A-CASTOR69,HF,75,75,0,1
A-CASTOR69,BI,25,25,0,1
A-GHU-1/25,HF,75,75,0,1
A-GHU-1/25,BI,25,25,0,1
A-SEN-2/23,HF,75,75,0,1
A-SEN-2/23,BI,25,25,0,1
A-LOJOE72,HF,75,75,0,1
A-LOJOE72,BI,25,25,0,1
A-M.REQ67,HF,75,75,0,1
A-M.REQ67,BI,25,25,0,1
A-EPK83,HF,75,75,0,1
A-EPK83,BI,25,25,0,1
A-GSCT95-1/26,HF,75,75,0,1
A-GSCT95-1/26,BI,25,25,0,1
A-CHARACTER82,HF,75,75,0,1
A-CHARACTER82,BI,25,25,0,1
A-WALHOW66,HF,75,75,0,1
A-WALHOW66,BI,25,25,0,1
A-ROS-1/28,HF,75,75,0,1
A-ROS-1/28,BI,25,25,0,1
A-VALLEY94,HF,75,75,0,1
A-VALLEY94,BI,25,25,0,1
A-Y651,HF,75,75,0,1
A-Y651,BI,25,25,0,1
75TH229,HF,75,75,0,1
75TH229,BI,25,25,0,1
141HF,HF,75,75,0,1
141HF,BI,25,25,0,1
A-MAGIC84,HF,75,75,0,1
A-MAGIC84,BI,25,25,0,1
C155,HF,75,75,0,1
C155,NA,25,25,0,1
A-VAN98,HF,75,75,0,1
A-VAN98,BI,25,25,0,1
NSH158,HF,75,75,0,1
NSH158,BI,25,25,0,1
75TH283,HF,75,75,0,1
75TH283,BI,25,25,0,1
TMZ82/43,HF,75,75,0,1
TMZ82/43,AB,25,25,0,1
TMZ173/43,HF,75,75,0,1
TMZ173/43,AB,25,25,0,1
000002,HF,100,100,0,1
000003,HF,100,100,0,1
000004,HF,100,100,0,1
000005,HF,100,100,0,1
000008,HF,100,100,0,1
002IVANHOE,HF,100,100,0,1
006M.NL,HF,100,100,0,1
007K.NL,HF,100,100,0,1
009STARWAR,HF,100,100,0,1
010HF,HF,100,100,0,1
011-ET3,HF,100,100,0,1
012-EAF,HF,100,100,0,1
099HF,HF,100,100,0,1
101HF,HF,100,100,0,1
14BR23,AB,100,100,0,1
21BR02,AB,100,100,0,1
21BR05,AB,100,100,0,1
142HF,HF,100,100,0,1
128HF,HF,100,100,0,1
132HF,HF,100,100,0,1
130HF,HF,100,100,0,1
147HF,HF,100,100,0,1
151HF,HF,100,100,0,1
152HF,HF,100,100,0,1
100TH199,HF,100,100,0,1
159HF,HF,100,100,0,1
160HF,HF,100,100,0,1
161HF,HF,100,100,0,1
162HF,HF,100,100,0,1
180HF,HF,100,100,0,1
091HF,HF,100,100,0,1
163HF,HF,100,100,0,1
RABST58/45,RAB,100,100,0,1
RABST61/45,RAB,100,100,0,1
060HF,HF,100,100,0,1
064HF,HF,100,100,0,1
NICK,HF,100,100,0,1
STARWING,HF,100,100,0,1
97HO0004,HF,100,100,0,1
97HO0003,HF,100,100,0,1
97HO0002,HF,100,100,0,1
97HO0021,HF,100,100,0,1
100TH204,HF,100,100,0,1
100TH226,HF,100,100,0,1
100TH237,HF,100,100,0,1
100TH263,HF,100,100,0,1
065HF,HF,100,100,0,1
069HF,HF,100,100,0,1
086HF,HF,100,100,0,1
087HF,HF,100,100,0,1
083HF,HF,100,100,0,1
082HF,HF,100,100,0,1
084HF,HF,100,100,0,1
089HF,HF,100,100,0,1
088HF,HF,100,100,0,1
090HF,HF,100,100,0,1
093HF,HF,100,100,0,1
092HF,HF,100,100,0,1
192HF,HF,100,100,0,1
100TH227,HF,100,100,0,1
195HF,HF,100,100,0,1
8BR08,AB,100,100,0,1
8BR2019,AB,100,100,0,1
8BR27,AB,100,100,0,1
7HO0839,HF,100,100,0,1
198998,HF,100,100,0,1
01-921,HF,100,100,0,1
01-879,HF,100,100,0,1
73HO0348,HF,100,100,0,1
73HO0404,HF,100,100,0,1
AACLAUDIUS,SM,100,100,0,1
AAPHOENIX,SM,100,100,0,1
ABKK,AB,100,100,0,1
AB45/36,AB,100,100,0,1
AB49/36,AB,100,100,0,1
AB34/37,AB,100,100,0,1
AB40/38,AB,100,100,0,1
AB1/29,AB,100,100,0,1
AB1/32,AB,100,100,0,1
AB1/40,AB,100,100,0,1
AB1144,AB,100,100,0,1
AB1157,AB,100,100,0,1
AB1161,AB,100,100,0,1
AB117,AB,100,100,0,1
AB1179,AB,100,100,0,1
AB12/32,AB,100,100,0,1
AB12/35,AB,100,100,0,1
AB12/40,AB,100,100,0,1
AB129,AB,100,100,0,1
AB13,AB,100,100,0,1
AB13/29,AB,100,100,0,1
AB135,AB,100,100,0,1
AB1367,AB,100,100,0,1
AB16/35,AB,100,100,0,1
AB18,AB,100,100,0,1
AB18/28,AB,100,100,0,1
AB19/30,AB,100,100,0,1
AB19/36,AB,100,100,0,1
AB2,AB,100,100,0,1
AB20,AB,100,100,0,1
AB23,AB,100,100,0,1
AB23/30,AB,100,100,0,1
AB24/30,AB,100,100,0,1
AB28/32,AB,100,100,0,1
AB282,AB,100,100,0,1
AB3/29,AB,100,100,0,1
AB3/32,AB,100,100,0,1
AB3/40,AB,100,100,0,1
AB304,AB,100,100,0,1
AB34/8,AB,100,100,0,1
AB36/30,AB,100,100,0,1
AB38,AB,100,100,0,1
AB4,AB,100,100,0,1
AB4/30,AB,100,100,0,1
AB42,AB,100,100,0,1
AB44,AB,100,100,0,1
AB5/34,AB,100,100,0,1
AB5/36,AB,100,100,0,1
AB54,AB,100,100,0,1
AB54/34,AB,100,100,0,1
AB45/34,AB,100,100,0,1
AB56,AB,100,100,0,1
AB6/32,AB,100,100,0,1
AB6/36,AB,100,100,0,1
AB691/5,AB,100,100,0,1
AB777,AB,100,100,0,1
AB8/36,AB,100,100,0,1
AB81,AB,100,100,0,1
AB843,AB,100,100,0,1
AB86,AB,100,100,0,1
AB86/38,AB,100,100,0,1
AB880,AB,100,100,0,1
AB9,AB,100,100,0,1
AB932,AB,100,100,0,1
AB94,AB,100,100,0,1
AB956,AB,100,100,0,1
AB959,AB,100,100,0,1
AB959/3,AB,100,100,0,1
AB96/34,AB,100,100,0,1
AB98,AB,100,100,0,1
AB98/30,AB,100,100,0,1
AB99,AB,100,100,0,1
ABLP103/42,AB,100,100,0,1
ABLP115/42,AB,100,100,0,1
ABMK16/42,AB,100,100,0,1
ABMK19/42,AB,100,100,0,1
ABMK27/42,AB,100,100,0,1
ABMK29/41,AB,100,100,0,1
ABMK8/42,AB,100,100,0,1
7185119662,CHA,100,100,0,1
ABSB4/42,AB,100,100,0,1
ABTA13/42,AB,100,100,0,1
ABTA18/42,AB,100,100,0,1
ABTK34/42,AB,100,100,0,1
ABTK36/42,AB,100,100,0,1
ABTP13/41,AB,100,100,0,1
ABTP15/42,AB,100,100,0,1
AB51/37,AB,100,100,0,1
ABTR13/41,AB,100,100,0,1
ABUB16/42,AB,100,100,0,1
ABUB31/42,AB,100,100,0,1
ABUD20/42,AB,100,100,0,1
ABUD3/42,AB,100,100,0,1
15FFD27,HF,100,100,0,1
3HO0723,HF,100,100,0,1
11HO2907,HF,100,100,0,1
FB2924,HF,100,100,0,1
MARK,HF,100,100,0,1
52177,SM,100,100,0,1
7985102182,CHA,100,100,0,1
1HO2714,HF,100,100,0,1
11HO3911,HF,100,100,0,1
290516,HF,100,100,0,1
313602,HF,100,100,0,1
323527,HF,100,100,0,1
3HO0053,HF,100,100,0,1
AIS-55,AIS,100,100,0,1
71HO0639,HF,100,100,0,1
29HO2146,HF,100,100,0,1
ALAMO,HF,100,100,0,1
0385102848,CHA,100,100,0,1
ALBINOS,HF,100,100,0,1
73HO1184,HF,100,100,0,1
3HO0347,HF,100,100,0,1
0705-253,HF,100,100,0,1
9HO1529,HF,100,100,0,1
ALIGOTE,CHA,100,100,0,1
ALINAR,HF,100,100,0,1
229203,HF,100,100,0,1
9995,SM,100,100,0,1
11HO5818,HF,100,100,0,1
11HO6016,HF,100,100,0,1
11HO5549,HF,100,100,0,1
11HO5557,HF,100,100,0,1
9HO1536,HF,100,100,0,1
7HO3847,HF,100,100,0,1
775244823,HF,100,100,0,1
HD136,HF,100,100,0,1
A14-311,HF,100,100,0,1
11HO7110,HF,100,100,0,1
8585101953,CHA,100,100,0,1
11HO1118,HF,100,100,0,1
7HO3088,HF,100,100,0,1
11HO5778,HF,100,100,0,1
11HO5330,HF,100,100,0,1
333860,HF,100,100,0,1
29HO8793,HF,100,100,0,1
14HO2687,HF,100,100,0,1
29HO8930,HF,100,100,0,1
29HO5160,HF,100,100,0,1
1481962,HF,100,100,0,1
11HO2194,HF,100,100,0,1
14HO0277,HF,100,100,0,1
9HO0107,HF,100,100,0,1
29HO5730,HF,100,100,0,1
1HO0266,HF,100,100,0,1
7HO1118,HF,100,100,0,1
29HO3175,HF,100,100,0,1
1446145,HF,100,100,0,1
ARON,AB,100,100,0,1
7HO1557,HF,100,100,0,1
14HO4089,HF,100,100,0,1
9HO1289,HF,100,100,0,1
29HO1952,HF,100,100,0,1
78205,HF,100,100,0,1
17HO0403,HF,100,100,0,1
7185112167,CHA,100,100,0,1
PROFITE.T.,HF,100,100,0,1
73216,HF,100,100,0,1
ATLAS,HF,100,100,0,1
4089,HF,100,100,0,1
FB3340,HF,100,100,0,1
14HO1065,HF,100,100,0,1
450539,HF,100,100,0,1
FB3299,HF,100,100,0,1
1HO3355,HF,100,100,0,1
B.STAR,HF,100,100,0,1
B34/40,NA,100,100,0,1
B54/40,NA,100,100,0,1
B75/40,NA,100,100,0,1
2-9462,HF,100,100,0,1
14HO2736,HF,100,100,0,1
7HO3714,HF,100,100,0,1
8HO9602,HF,100,100,0,1
4286101832,CHA,100,100,0,1
52451,SM,100,100,0,1
456650578,HF,100,100,0,1
73HO1075,HF,100,100,0,1
1364080,HF,100,100,0,1
11HO1928,HF,100,100,0,1
9HO1097,HF,100,100,0,1
14HO1332,HF,100,100,0,1
H406,HF,100,100,0,1
14HO2759,HF,100,100,0,1
9HO1674,HF,100,100,0,1
29HO9128,HF,100,100,0,1
14HO0652,HF,100,100,0,1
9HO1253,HF,100,100,0,1
39HO0389,HF,100,100,0,1
73HO0776,HF,100,100,0,1
70HO0558,HF,100,100,0,1
BELJART,CHA,100,100,0,1
041HF,HF,100,100,0,1
14HO1257,HF,100,100,0,1
8586104254,CHA,100,100,0,1
BER308,HF,100,100,0,1
5886113636,CHA,100,100,0,1
73HO0831,HF,100,100,0,1
7HO3725,HF,100,100,0,1
29HO4423,HF,100,100,0,1
72HO0611,HF,100,100,0,1
122HO0381,HF,100,100,0,1
P248,HF,100,100,0,1
29HO4773,HF,100,100,0,1
BILL,HF,100,100,0,1
20692/01,SM,100,100,0,1
P292,HF,100,100,0,1
3HO0689,HF,100,100,0,1
9HO1401,HF,100,100,0,1
1HO1464,HF,100,100,0,1
8HO1258,HF,100,100,0,1
9HO1048,HF,100,100,0,1
9819,HF,100,100,0,1
29HO4676,HF,100,100,0,1
HOPE,HF,100,100,0,1
4286100325,CHA,100,100,0,1
9889,HF,100,100,0,1
SEN,HF,100,100,0,1
8586106942,CHA,100,100,0,1
9HO2017,HF,100,100,0,1
SG27,SM,100,100,0,1
11HO3093,HF,100,100,0,1
1HO9215,HF,100,100,0,1
71HO1083,HF,100,100,0,1
71HO1019,HF,100,100,0,1
28HO0173,HF,100,100,0,1
HD42,HF,100,100,0,1
8586104282,CHA,100,100,0,1
9976,HF,100,100,0,1
504491429,HF,100,100,0,1
503752907,HF,100,100,0,1
4286103237,CHA,100,100,0,1
50-1756,HF,100,100,0,1
11HO5071,HF,100,100,0,1
21HO0990,HF,100,100,0,1
9HO1729,HF,100,100,0,1
11HO5539,HF,100,100,0,1
11HO1545,HF,100,100,0,1
29HO3625,HF,100,100,0,1
308045,HF,100,100,0,1
7HO4401,HF,100,100,0,1
71HO0580,HF,100,100,0,1
29HO2856,HF,100,100,0,1
73HO1414,HF,100,100,0,1
9HO0780,HF,100,100,0,1
9HO0758,HF,100,100,0,1
1HO0224,HF,100,100,0,1
73HO0422,HF,100,100,0,1
H428,HF,100,100,0,1
9HO0939,HF,100,100,0,1
9HO0580,HF,100,100,0,1
9HO0914,HF,100,100,0,1
76HO0045,HF,100,100,0,1
1086797,HF,100,100,0,1
70HO0289,HF,100,100,0,1
C613,BS,100,100,0,1
CHA224/8,CHA,100,100,0,1
CHA7/9,CHA,100,100,0,1
22-542,HF,100,100,0,1
1182957,HF,100,100,0,1
1001822,HF,100,100,0,1
29HO3875,HF,100,100,0,1
21HO0073,HF,100,100,0,1
1038509,HF,100,100,0,1
11HO0369,HF,100,100,0,1
S230405,HF,100,100,0,1
11HO3665,HF,100,100,0,1
70HO0188,HF,100,100,0,1
1662606,HF,100,100,0,1
40HO2080,HF,100,100,0,1
C.BONUS,HF,100,100,0,1
C.BRURAL,HF,100,100,0,1
C.COBRA,HF,100,100,0,1
C.FALCAN,HF,100,100,0,1
WIZARD060,CHA,100,100,0,1
C.MARKET,HF,100,100,0,1
C003,CHA,100,100,0,1
14HO2240,HF,100,100,0,1
29HO7337,HF,100,100,0,1
14HO2483,HF,100,100,0,1
11HO2892,HF,100,100,0,1
11HO3675,HF,100,100,0,1
73HO2194,HF,100,100,0,1
387962,HF,100,100,0,1
7HO2203,HF,100,100,0,1
9HO0584,HF,100,100,0,1
73HO0281,HF,100,100,0,1
8HO1523,HF,100,100,0,1
8HO0672,HF,100,100,0,1
7HO3384,HF,100,100,0,1
7HO1960,HF,100,100,0,1
29HO7731,HF,100,100,0,1
9HO1173,HF,100,100,0,1
4287101541,CHA,100,100,0,1
4287100104,CHA,100,100,0,1
11HO6719,HF,100,100,0,1
12FFS44,HF,100,100,0,1
11HO2188,HF,100,100,0,1
7HO0543,HF,100,100,0,1
11HO2597,HF,100,100,0,1
11HO2598,HF,100,100,0,1
11HO2162,HF,100,100,0,1
11HO2418,HF,100,100,0,1
11HO2745,HF,100,100,0,1
11HO1237,HF,100,100,0,1
11HO2132,HF,100,100,0,1
878257,HF,100,100,0,1
837650,HF,100,100,0,1
1152252,HF,100,100,0,1
11HO2566,HF,100,100,0,1
11HO0001,HF,100,100,0,1
1860383,HF,100,100,0,1
11HO2378,HF,100,100,0,1
7987100676,CHA,100,100,0,1
11HO5929,HF,100,100,0,1
11HO6655,HF,100,100,0,1
CASCO1212,AB,100,100,0,1
CASCO441/3,AB,100,100,0,1
CR47680F,HF,100,100,0,1
1352991,HF,100,100,0,1
7HO0800,HF,100,100,0,1
7HO5300,HF,100,100,0,1
29HO9486,HF,100,100,0,1
7HO3702,HF,100,100,0,1
7HO0286,HF,100,100,0,1
319416,HF,100,100,0,1
29HO7551,HF,100,100,0,1
3HO0449,HF,100,100,0,1
14HO0395,HF,100,100,0,1
14HO0635,HF,100,100,0,1
8HO1608,HF,100,100,0,1
1HO3810,HF,100,100,0,1
1221490,HF,100,100,0,1
11HO0464,HF,100,100,0,1
29HO6405,HF,100,100,0,1
CHAZAK823,HF,100,100,0,1
29HO7441,HF,100,100,0,1
73HO0274,HF,100,100,0,1
1HO2041,HF,100,100,0,1
122HO1271,HF,100,100,0,1
11HO3264,HF,100,100,0,1
CHEVER813,HF,100,100,0,1
29HO4725,HF,100,100,0,1
0387106897,CHA,100,100,0,1
6987100162,CHA,100,100,0,1
29HO1883,HF,100,100,0,1
73HO0761,HF,100,100,0,1
71HO0814,HF,100,100,0,1
5209-11,HF,100,100,0,1
7HO1865,HF,100,100,0,1
73HO1123,HF,100,100,0,1
94HO7051,HF,100,100,0,1
70HO0143,HF,100,100,0,1
74230,HF,100,100,0,1
7187113816,CHA,100,100,0,1
12FFT86,HF,100,100,0,1
12FFT87,HF,100,100,0,1
CMT-TUXPENO,AB,100,100,0,1
29HO6660,HF,100,100,0,1
3HO0553,HF,100,100,0,1
AB237/9,AB,100,100,0,1
15HO0059,HF,100,100,0,1
11HO0145,HF,100,100,0,1
29HO5616,HF,100,100,0,1
COLASSAL,AB,100,100,0,1
14HO2869,HF,100,100,0,1
9HO0619,HF,100,100,0,1
7HO2249,HF,100,100,0,1
7HO3993,HF,100,100,0,1
5887116022,CHA,100,100,0,1
73HO1800,HF,100,100,0,1
70HO1160,HF,100,100,0,1
73HO1225,HF,100,100,0,1
11HO3676,HF,100,100,0,1
11HO1859,HF,100,100,0,1
11HO1858,HF,100,100,0,1
71HO0931,HF,100,100,0,1
11HO1937,HF,100,100,0,1
73HO1244,HF,100,100,0,1
29HO7642,HF,100,100,0,1
COOPER,CHA,100,100,0,1
11HO3708,HF,100,100,0,1
7HO0877,HF,100,100,0,1
14HO3213,HF,100,100,0,1
73HO0629,HF,100,100,0,1
11HO0172,HF,100,100,0,1
9HO2608,HF,100,100,0,1
14HO1610,HF,100,100,0,1
71HO1220,HF,100,100,0,1
1328684,HF,100,100,0,1
11HO3822,HF,100,100,0,1
1HO4750,HF,100,100,0,1
1HO1222,HF,100,100,0,1
1093537,HF,100,100,0,1
1255986,HF,100,100,0,1
1HO1333,HF,100,100,0,1
100HO1903,HF,100,100,0,1
73HO0802,HF,100,100,0,1
21HO0380,HF,100,100,0,1
2323-16,HF,100,100,0,1
71HO0941,HF,100,100,0,1
990151041,HF,100,100,0,1
62309,HF,100,100,0,1
DAMOISEAU,CHA,100,100,0,1
9HO0588,HF,100,100,0,1
3588001281,HF,100,100,0,1
0388105801,CHA,100,100,0,1
8588100144,CHA,100,100,0,1
11HO4544,HF,100,100,0,1
73HO0885,HF,100,100,0,1
14HO0386,HF,100,100,0,1
7988103119,CHA,100,100,0,1
7188118405,CHA,100,100,0,1
11HO2235,HF,100,100,0,1
8588106669,CHA,100,100,0,1
7188136206,CHA,100,100,0,1
11HO4311,HF,100,100,0,1
14HO1442,HF,100,100,0,1
70HO0221,HF,100,100,0,1
1393175,HF,100,100,0,1
7HO0821,HF,100,100,0,1
15HO0157,HF,100,100,0,1
29HO8030,HF,100,100,0,1
7HO4149,HF,100,100,0,1
0388108206,CHA,100,100,0,1
DIDAD,SM,100,100,0,1
389JJ,AB,100,100,0,1
19767/01,SM,100,100,0,1
14HO1886,HF,100,100,0,1
53165,SM,100,100,0,1
29HO9045,HF,100,100,0,1
122HO1342,HF,100,100,0,1
52300/16,SM,100,100,0,1
274043,HF,100,100,0,1
7188125150,CHA,100,100,0,1
11HO4400,HF,100,100,0,1
11HO5672,HF,100,100,0,1
9HO1026,HF,100,100,0,1
29HO6706,HF,100,100,0,1
29HO6551,HF,100,100,0,1
P548,HF,100,100,0,1
7HO0826,HF,100,100,0,1
DIXL,SM,100,100,0,1
DM1041,DM,100,100,0,1
DM11,DM,100,100,0,1
DM121,DM,100,100,0,1
DM4401,DM,100,100,0,1
DM68/29,DM,100,100,0,1
9HO1877,HF,100,100,0,1
29HO1853,HF,100,100,0,1
29HO3098,HF,100,100,0,1
5888113293,CHA,100,100,0,1
29HO10086,HF,100,100,0,1
70HO0447,HF,100,100,0,1
5188044984,HF,100,100,0,1
9HO0574,HF,100,100,0,1
7HO0754,HF,100,100,0,1
9HO0996,HF,100,100,0,1
315196,HF,100,100,0,1
282293,HF,100,100,0,1
AB310,AB,100,100,0,1
DRAGUIGNAN,CHA,100,100,0,1
9HO1705,HF,100,100,0,1
73HO1819,HF,100,100,0,1
